trade_date,沪深300指数,京沪高铁,申通地铁,广深铁路,复星医药,药明康德
2023-06-05,3844.2492,5.61,8.3,3.4,30.5,66.09
2023-06-06,3808.1629,5.53,8.16,3.46,29.86,64.45
2023-06-07,3789.3418,5.67,8.26,3.81,29.83,63.28
2023-06-08,3820.1867,5.65,8.34,3.99,29.88,64.11
2023-06-09,3836.7026,5.64,8.38,3.91,29.95,67.44
2023-06-12,3844.4324,5.62,8.37,4.04,30.06,67.71
2023-06-13,3864.9074,5.59,8.35,4.09,30.09,68.81
2023-06-14,3864.0247,5.54,8.37,4.11,30.04,67.66
2023-06-15,3925.4994,5.41,8.33,4.17,30.58,70.9
2023-06-16,3963.3509,5.58,8.33,4.07,30.75,71.81
2023-06-19,3930.9079,5.39,8.22,4.05,31.25,69.8
2023-06-20,3924.2377,5.3,8.16,3.83,31.07,68.95
2023-06-21,3864.0323,5.26,8.13,3.85,30.66,63.3
2023-06-26,3809.6962,5.16,8.03,3.78,30.62,64.11
2023-06-27,3845.4334,5.16,8.16,3.91,30.92,63.7
2023-06-28,3840.7986,5.34,8.15,4.12,30.85,62.64
2023-06-29,3821.8435,5.26,8.2,4.02,30.67,61.82
2023-06-30,3842.4516,5.26,8.23,3.96,30.9,62.31
2023-07-03,3892.8821,5.44,8.26,4.01,31.04,63.69
2023-07-04,3899.0133,5.41,8.31,3.91,31.36,64.85
2023-07-05,3868.8054,5.42,8.31,3.87,31.08,64.54
2023-07-06,3842.7547,5.37,8.3,3.89,30.73,63.48
2023-07-07,3825.6988,5.49,8.32,3.86,30.75,63.01
2023-07-10,3844.3269,5.54,8.3,3.84,30.88,63.6
2023-07-11,3869.4861,5.56,8.33,3.69,31.04,63.9
2023-07-12,3843.4369,5.46,8.24,3.42,30.8,63.4
2023-07-13,3898.4229,5.56,8.3,3.38,31.05,67.13
2023-07-14,3899.1027,5.55,8.24,3.43,30.89,67.66
2023-07-17,3867.1749,5.55,8.27,3.26,30.44,65.86
2023-07-18,3854.9393,5.58,8.33,3.32,30.45,68.02
2023-07-19,3850.8663,5.57,8.35,3.48,30.56,67.87
2023-07-20,3823.6946,5.52,8.29,3.43,30.47,67.64
2023-07-21,3821.91,5.52,8.33,3.41,30.7,67.8
2023-07-24,3805.221,5.49,8.35,3.43,30.87,67.73
2023-07-25,3915.1153,5.56,8.43,3.4,31.12,68.15
2023-07-26,3907.0128,5.55,8.47,3.37,31.31,69.19
2023-07-27,3902.3458,5.53,8.44,3.35,31.19,69.3
2023-07-28,3992.7376,5.62,8.48,3.41,31.72,69.28
2023-07-31,4014.6301,5.47,8.57,3.4,31.7,71.67
2023-08-01,3998.001,5.53,8.54,3.43,31.53,74.98
2023-08-02,3969.895,5.42,8.57,3.37,30.95,73.8
2023-08-03,4004.9839,5.42,8.6,3.4,31.62,77.05
2023-08-04,4020.5792,5.47,8.61,3.37,31.44,75.56
2023-08-07,3990.1531,5.42,8.55,3.34,30.19,73.97
2023-08-08,3979.7322,5.37,8.59,3.37,30.1,73.61
2023-08-09,3967.5652,5.41,8.46,3.3,29.85,76.24
2023-08-10,3975.7166,5.42,8.57,3.33,29.81,78.9
2023-08-11,3884.2538,5.37,8.47,3.24,29.62,78.6
2023-08-14,3855.9061,5.41,8.52,3.29,29.74,78.49
2023-08-15,3846.5357,5.44,8.51,3.27,29.35,78.01
2023-08-16,3818.3338,5.43,8.45,3.23,29.34,77.91
2023-08-17,3831.1008,5.45,8.54,3.26,29.31,79.73
2023-08-18,3784.0038,5.37,8.5,3.23,28.76,77.77
2023-08-21,3729.555,5.3,8.43,3.17,28.22,77.8
2023-08-22,3758.2271,5.33,8.25,3.22,28.16,77.59
2023-08-23,3696.6339,5.3,8.19,3.15,27.6,76.43
2023-08-24,3723.4293,5.2,8.16,3.13,27.83,78.7
2023-08-25,3709.1517,5.24,8.08,3.11,27.81,79.06
2023-08-28,3752.6194,5.32,8.18,3.14,28.3,79.22
2023-08-29,3790.1067,5.37,8.28,3.19,28.91,81.26
2023-08-30,3788.5097,5.39,8.22,3.15,28.5,82.14
2023-08-31,3765.2678,5.1,8.11,3.13,27.93,81.5
2023-09-01,3791.4912,5.14,8.16,3.2,28.01,80.16
2023-09-04,3848.9517,5.19,8.28,3.16,28.34,81.38
2023-09-05,3820.3174,5.15,8.26,3.09,28.15,81.41
2023-09-06,3812.0283,5.12,8.79,3.06,28.0,77.0
2023-09-07,3758.4748,5.07,8.41,3.01,27.7,76.3
2023-09-08,3739.9927,5.06,8.29,2.97,27.63,76.2
2023-09-11,3767.537,5.06,8.31,3.01,28.1,77.5
2023-09-12,3760.6048,5.05,8.22,3.0,28.2,77.45
2023-09-13,3736.6513,5.08,8.21,2.98,27.99,77.33
2023-09-14,3733.5077,5.12,8.21,2.96,28.16,77.96
2023-09-15,3708.7766,5.12,8.23,2.95,28.29,79.8
2023-09-18,3727.711,5.06,8.27,2.97,28.6,81.0
2023-09-19,3720.5021,5.12,8.26,2.97,28.48,80.4
2023-09-20,3705.6898,5.1,8.18,2.94,28.24,80.19
2023-09-21,3672.4448,5.15,8.16,2.96,27.92,78.55
2023-09-22,3738.9327,5.16,8.23,3.02,28.47,79.55
2023-09-25,3714.6037,5.14,8.22,2.92,28.55,81.5
2023-09-26,3692.8928,5.15,8.2,2.86,28.27,81.55
2023-09-27,3700.495,5.15,8.2,2.88,28.66,87.67
2023-09-28,3689.5172,5.13,8.27,2.89,28.6,86.18
2023-10-09,3684.7272,5.04,8.19,2.84,28.69,86.49
2023-10-10,3657.1259,4.92,8.14,2.77,28.27,84.45
2023-10-11,3667.5483,4.93,8.13,2.76,28.75,88.15
2023-10-12,3702.3824,5.03,8.15,2.79,28.91,89.3
2023-10-13,3663.4104,4.94,8.07,2.71,29.3,90.18
2023-10-16,3626.5972,4.93,8.07,2.73,28.8,87.9
2023-10-17,3639.4018,4.96,8.05,2.73,28.65,88.25
2023-10-18,3610.5767,4.93,7.91,2.7,28.18,87.51
2023-10-19,3533.5445,4.83,7.85,2.67,27.66,86.18
2023-10-20,3510.5889,4.8,7.81,2.65,27.15,84.62
2023-10-23,3474.2438,4.81,7.64,2.6,26.84,84.35
2023-10-24,3487.1302,4.83,7.81,2.63,27.16,84.07
2023-10-25,3504.4576,4.95,7.92,2.65,27.22,83.47
2023-10-26,3514.1448,5.04,7.92,2.67,27.25,84.37
2023-10-27,3562.3851,5.04,8.01,2.72,28.08,88.72
2023-10-30,3583.7718,5.01,8.09,2.68,28.93,90.46
2023-10-31,3572.5056,5.0,8.09,2.58,28.44,86.51
2023-11-01,3571.0268,4.97,8.11,2.57,28.22,84.95
2023-11-02,3554.1889,4.96,8.07,2.59,28.32,85.38
